n01440764	tench，Tinca tinca
n04357314	防曬霜，防曬霜，防曬霜
n04366367	吊橋
n04367480	棉籤，棉布，拖把
n04370456	運動衫
n04371430	游泳褲，沐浴褲
n04371774	搖擺
n04372370	開關，電開關，電開關
n04376876	注射器
n04380533	檯燈
n04389033	坦克，陸軍坦克，裝甲戰車，裝甲戰車
n04392985	磁帶機
n04398044	茶壺
n04399382	泰迪熊，玩具熊
n04404412	電視，電視系統
n04409515	網球
n04417672	茅草屋頂，茅草屋頂
n04418357	劇院窗簾，劇院窗簾
n04423845	頂針
n04428191	脫粒機，打漿機，脫粒機
n04429376	王座
n04435653	瓦屋頂
n04442312	烤麵包機
n04443257	煙草店，煙草店，煙草商
n04447861	馬桶座圈
n04456115	火炬
n04458633	圖騰柱
n04461696	拖車，拖車，清障車
n04462240	玩具店
n04465501	拖拉機
n04467665	拖車卡車，拖拉機拖車，貨車裝載機，鑽機，鉸接式貨車，半掛車
n04476259	托盤
n04479046	風衣
n04482393	三輪車，trike，velocipede
n04483307	三體船
n04485082	鼎
n04486054	凱旋門
n04487081	無軌電車，無軌電車，無軌電車
n04487394	長號
n04493381	浴缸，大桶
n04501370	旋轉門
n04505470	打字機鍵盤
n04507155	雨傘
n04509417	單輪，單輪
n04515003	直立，直立的鋼琴
n04517823	真空吸塵器
n04522168	花瓶
n04523525	拱頂
n04525038	絲絨
n04525305	售貨機
n04532106	法衣
n04532670	高架橋
n04536866	小提琴，小提琴
n04540053	排球
n04542943	華夫餅鐵
n04548280	掛鐘
n04548362	錢包，billfold，notecase，手提包
n04550184	衣櫃，衣櫃，按
n04552348	戰機，軍機
n04553703	洗臉盆，手扶盆，洗臉盆，拉瓦博，洗手盆
n04554684	洗衣機，自動洗衣機，洗衣機
n04557648	水瓶
n04560804	水壺
n04562935	水塔
n04579145	威士忌水罐
n04579432	哨
n04584207	假髮
n04589890	窗口屏幕
n04590129	窗簾
n04591157	溫莎領帶
n04591713	酒瓶
n04592741	翅膀
n04596742	炒鍋
n04597913	木勺子
n04599235	羊毛，羊毛，羊毛
n04604644	蠕蟲柵欄，蛇柵欄，蛇欄，弗吉尼亞圍欄
n04606251	破壞
n04612504	YAWL
n04613696	蒙古包
n06359193	網站，網站，網站，網站
n06596364	漫畫書
n06785654	縱橫字謎，填字遊戲
n06794110	街道路標
n06874185	交通燈，交通信號燈，停車燈
n07248320	書夾，防塵罩，防塵套，防塵包裝
n07565083	菜單
n07579787	盤子
n07583066	鱷梨
n07584110	清湯
n07590611	火鍋，火鍋
n07613480	瑣事
n07614500	冰淇淋，冰淇淋
n07615774	冰棍，棒棒棒糖，棒棒糖
n07684084	法國麵包
n07693725	百吉餅，貝格爾
n07695742	椒鹽捲餅
n07697313	乳酪漢堡
n07697537	熱狗，熱狗，紅熱
n07711569	土豆泥
n07714571	頭白菜
n07714990	西蘭花
n07715103	菜花
n07716358	西葫蘆，小胡瓜
n07716906	意大利麵條南瓜
n07717410	橡子南瓜
n07717556	胡桃南瓜
n07718472	黃瓜，湯姆
n07718747	朝鮮薊，全球朝鮮薊
n07720875	燈籠椒
n07730033	刺苞菜薊
n07734744	蘑菇
n07742313	老奶奶史密斯
n07745940	草莓
n07747607	橙子
n07749582	檸檬
n07753113	圖
n07753275	菠蘿，香蕉
n07753592	香蕉
n07754684	菠蘿蜜，傑克，傑克
n07760859	奶油蘋果
n07768694	石榴
n07802026	乾草
n07831146	培根蛋面
n07836838	巧克力醬，巧克力糖漿
n07860988	麵團
n07871810	肉麵包，肉餅
n07873807	比薩餅，比薩餡餅
n07875152	鍋餅
n07880968	捲餅
n07892512	紅酒
n07920052	濃咖啡
n07930864	杯子
n07932039	蛋酒
n09193705	岳
n09229709	泡沫
n09246464	懸崖，下降，下降
n09256479	珊瑚礁
n09288635	噴泉
n09332890	湖畔，湖岸
n09399592	海角，岬角，頭，前陸
n09421951	沙灘，沙灘吧
n09428293	海濱，海岸，海岸，海岸
n09468604	谷，谷
n09472597	火山
n09835506	球員，棒球運動員
n10148035	新郎，新郎
n10565667	潛水員
n11879895	菜子
n11939491	雛菊
n12057211	黃色女士拖鞋，黃色淑女拖鞋，鯉魚，Cypripedium parviflorum
n12144580	玉米
n12267677	橡子
n12620546	臀部，玫瑰果，玫瑰
n12768682	buckeye，馬蹄，conker
n12985857	珊瑚真菌
n12998815	傘菌
n13037406	gyromitra
n13040303	惡臭，腐肉
n13044778	earthstar
n13052670	樹林上的母雞，樹林的多孔屬
n13054560	牛肝菌
n13133613	耳朵，尖峰，頭帽
n15075141	衛生紙，衛生紙，衛生紙
